"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"1",20906,60741,54180,2545,63286,56725,2022-04-26
"2",20878,55376,50013,3461,58837,53474,2022-04-26
"3",20874,49195,44444,3417,52612,47861,2022-04-26
"4",21234,45897,42635,3071,48968,45706,2022-04-26
"5",20904,47005,41831,1733,48738,43564,2022-04-26
"6",20854,44820,39475,2145,46965,41620,2022-04-26
"7",20850,43060,38546,2553,45613,41099,2022-04-26
"8",21122,40413,37454,3265,43678,40719,2022-04-26
"9",20902,43582,38551,1961,45543,40512,2022-04-26
"10",21117,41668,38020,2433,44101,40453,2022-04-26
"11",21043,41207,38107,2162,43369,40269,2022-04-26
"12",21228,39221,36543,2573,41794,39116,2022-04-26
"13",21042,38434,35544,2076,40510,37620,2022-04-26
"14",21224,37387,33111,3840,41227,36951,2022-04-26
"15",20852,39309,34476,1927,41236,36403,2022-04-26
"16",21061,35791,32639,2693,38484,35332,2022-04-26
"17",20774,37263,33091,1586,38849,34677,2022-04-26
"18",21044,35498,32687,1812,37310,34499,2022-04-26
"19",21222,33442,30458,3682,37124,34140,2022-04-26
"20",21215,33953,30379,2108,36061,32487,2022-04-26
"21",21740,30432,27560,4897,35329,32457,2022-04-26
"22",21093,32519,30347,1933,34452,32280,2022-04-26
"23",20772,34575,30799,1451,36026,32250,2022-04-26
"24",21702,31684,28662,2604,34288,31266,2022-04-26
"25",20910,34159,29492,1702,35861,31194,2022-04-26
"26",21045,31929,29277,1747,33676,31024,2022-04-26
"27",20783,34850,29052,1955,36805,31007,2022-04-26
"28",20744,33760,29271,1333,35093,30604,2022-04-26
"29",20706,32291,28412,1859,34150,30271,2022-04-26
"30",20817,32493,28198,1823,34316,30021,2022-04-26
"31",21784,29742,27695,2260,32002,29955,2022-04-26
"32",21207,30677,28054,1872,32549,29926,2022-04-26
"33",21401,30603,27481,1984,32587,29465,2022-04-26
"34",21703,29579,26770,2563,32142,29333,2022-04-26
"35",21236,28986,27135,2067,31053,29202,2022-04-26
"36",21701,28446,26122,2916,31362,29038,2022-04-26
"37",21206,29690,27107,1744,31434,28851,2022-04-26
"38",20877,30265,26616,2157,32422,28773,2022-04-26
"39",20901,30633,27084,1414,32047,28498,2022-04-26
"40",21218,29868,26741,1386,31254,28127,2022-04-26
"41",21014,27117,25335,2086,29203,27421,2022-04-26
"42",20723,27234,24940,1640,28874,26580,2022-04-26
"43",20707,27773,24850,1708,29481,26558,2022-04-26
"44",20886,27225,24406,1950,29175,26356,2022-04-26
"45",21220,25985,23982,2160,28145,26142,2022-04-26
"46",21075,26810,24474,1483,28293,25957,2022-04-26
"47",21136,25949,23898,1811,27760,25709,2022-04-26
"48",21221,25721,23675,2023,27744,25698,2022-04-26
"49",21208,26523,24349,1323,27846,25672,2022-04-26
"50",21229,26032,23699,1741,27773,25440,2022-04-26
