"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"1",20011,10695,6053,596,11291,6649,2022-04-26
"2",20002,6910,4454,603,7513,5057,2022-04-26
"3",20009,6128,4125,731,6859,4856,2022-04-26
"4",20019,7957,4427,290,8247,4717,2022-04-26
"5",20016,6451,3793,452,6903,4245,2022-04-26
"6",20001,5148,3380,505,5653,3885,2022-04-26
"7",20008,5165,3385,448,5613,3833,2022-04-26
"8",20020,5541,3122,247,5788,3369,2022-04-26
"9",20015,4995,3095,236,5231,3331,2022-04-26
"10",20010,3928,2624,326,4254,2950,2022-04-26
"11",20007,3656,2325,326,3982,2651,2022-04-26
"12",17331,2916,2376,265,3181,2641,2022-04-26
"13",20003,3391,2184,336,3727,2520,2022-04-26
"14",20032,4248,2228,210,4458,2438,2022-04-26
"15",20012,4152,2129,166,4318,2295,2022-04-26
"16",17268,2170,1727,334,2504,2061,2022-04-26
"17",17225,2036,1638,269,2305,1907,2022-04-26
"18",20017,3408,1714,162,3570,1876,2022-04-26
"19",20018,3116,1596,132,3248,1728,2022-04-26
"20",19975,2267,1503,109,2376,1612,2022-04-26
"21",25419,1863,1327,201,2064,1528,2022-04-26
"22",19702,1937,1410,94,2031,1504,2022-04-26
"23",19940,1683,1294,156,1839,1450,2022-04-26
"24",17314,1666,1180,259,1925,1439,2022-04-26
"25",22201,1686,1159,154,1840,1313,2022-04-26
"26",22314,1633,1032,84,1717,1116,2022-04-26
"27",19973,1163,913,197,1360,1110,2022-04-26
"28",19956,1226,946,155,1381,1101,2022-04-26
"29",22304,1462,979,87,1549,1066,2022-04-26
"30",26753,1483,946,117,1600,1063,2022-04-26
"31",19701,1383,980,81,1464,1061,2022-04-26
"32",22204,1361,935,107,1468,1042,2022-04-26
"33",20024,1383,905,130,1513,1035,2022-04-26
"34",19709,1235,923,60,1295,983,2022-04-26
"35",20005,1254,819,140,1394,959,2022-04-26
"36",22101,1376,880,71,1447,951,2022-04-26
"37",22202,1249,855,88,1337,943,2022-04-26
"38",17349,1019,849,65,1084,914,2022-04-26
"39",19966,1027,769,134,1161,903,2022-04-26
"40",17340,1023,808,70,1093,878,2022-04-26
"41",19711,1167,805,64,1231,869,2022-04-26
"42",17363,870,762,71,941,833,2022-04-26
"43",17320,922,712,118,1040,830,2022-04-26
"44",22102,1120,771,58,1178,829,2022-04-26
"45",20037,1059,675,112,1171,787,2022-04-26
"46",22207,1067,691,81,1148,772,2022-04-26
"47",25404,927,667,97,1024,764,2022-04-26
"48",17325,843,660,98,941,758,2022-04-26
"49",22003,973,667,52,1025,719,2022-04-26
"50",22203,860,594,86,946,680,2022-04-26
"51",25425,774,590,69,843,659,2022-04-26
"52",22031,799,597,48,847,645,2022-04-26
"53",22209,854,572,72,926,644,2022-04-26
"54",17361,714,591,51,765,642,2022-04-26
"55",22182,833,597,45,878,642,2022-04-26
"56",22030,811,571,55,866,626,2022-04-26
"57",19945,781,553,64,845,617,2022-04-26
"58",19970,876,558,45,921,603,2022-04-26
"59",25414,726,557,46,772,603,2022-04-26
"60",25403,763,526,69,832,595,2022-04-26
"61",22306,837,536,57,894,593,2022-04-26
"62",25427,745,492,91,836,583,2022-04-26
"63",22312,785,530,41,826,571,2022-04-26
"64",20171,739,503,55,794,558,2022-04-26
"65",20036,717,464,90,807,554,2022-04-26
"66",22042,721,503,45,766,548,2022-04-26
"67",22310,744,494,52,796,546,2022-04-26
"68",26726,707,484,60,767,544,2022-04-26
"69",22206,706,486,53,759,539,2022-04-26
"70",17236,601,457,77,678,534,2022-04-26
"71",19713,686,479,49,735,528,2022-04-26
"72",22043,672,476,42,714,518,2022-04-26
"73",20148,662,439,78,740,517,2022-04-26
"74",17327,518,433,74,592,507,2022-04-26
"75",22303,721,448,56,777,504,2022-04-26
"76",22309,694,453,40,734,493,2022-04-26
"77",22191,687,441,44,731,485,2022-04-26
"78",17202,503,421,59,562,480,2022-04-26
"79",22302,638,427,48,686,475,2022-04-26
"80",20147,663,421,53,716,474,2022-04-26
"81",20176,666,420,49,715,469,2022-04-26
"82",22015,616,424,40,656,464,2022-04-26
"83",22193,625,432,30,655,462,2022-04-26
"84",22315,620,418,35,655,453,2022-04-26
"85",19939,570,414,37,607,451,2022-04-26
"86",20180,755,379,72,827,451,2022-04-26
"87",22485,512,413,35,547,448,2022-04-26
"88",22180,586,402,41,627,443,2022-04-26
"89",17402,478,393,41,519,434,2022-04-26
"90",22033,561,391,35,596,426,2022-04-26
"91",17403,476,393,31,507,424,2022-04-26
"92",22311,537,371,30,567,401,2022-04-26
"93",19958,531,373,24,555,397,2022-04-26
"94",22150,523,366,31,554,397,2022-04-26
"95",22066,545,369,27,572,396,2022-04-26
"96",19720,515,356,30,545,386,2022-04-26
